review,author,date,star_rating
cakep banget pas di bb aku 61 nyesel beli 1😢 ,t***i,07 Jan 2024,5
lumayan ,Rabbani M.,08 Des 2023,5
kereng. ,Azmys,30 Des 2023,5
"bagus,, ",S***.,07 Des 2023,5
lumayan ,Rimbayani,31 Okt 2023,5
pik bnt ,Warno 0.,13 Jan 2024,5
"Pas sempurna dengan desain high waist., Celana kargo yang trendi dan fungsional., Bagus untuk aktivitas di luar ruangan., Celana kargo yang stylish dan modis., Celana kargo serbaguna untuk berbagai acara.,  ",Jihan F.,24 Des 2023,5
"mantulll, nexs order lg ",Fitri H.,17 Des 2023,5
"sesuai pesanan, celana cargo bagus, bahannya adem, jahitan rapi, kurir nya baik dan ramah makasihh lazada  ",rahmachaniago,17 Des 2023,5
"jelek g sesuai dgn gambar mna sobek lgi Deket saku nya, jahitan nya juga g rapih Poko nya 👎 ",Rani A.,17 Des 2023,5
"Bahan yang tahan lama untuk penggunaan jangka panjang., Celana kargo yang stylish dan modis., Bagus untuk aktivitas di luar ruangan., Kain nyaman dan bernapas.,  ",Livia,17 Des 2023,5
sesuai harga...... ,neneng S.,17 Des 2023,5
"Pas sempurna dengan desain high waist., Bagus untuk aktivitas di luar ruangan., Beragam pilihan warna yang dapat dipilih., Celana kargo yang stylish dan modis.,  ",Arief S.,17 Des 2023,5
"Kain nyaman dan bernapas., Pas sempurna dengan desain high waist., Bahan yang tahan lama untuk penggunaan jangka panjang.,  ",Arief S.,17 Des 2023,5
